"","System","System.element","Type","Depth","Weight","LINES_OF_CODE","DUPLICATION","CODE_BREAKDOWN","CODE_BREAKDOWN.Rating","DEPLOYMENT_BREAKDOWN","DEPLOYMENT_BREAKDOWN.Rating","INTER_COMPONENT_DUPLICATION","INTER_COMPONENT_DUPLICATION.Rating","SHARED_CODE","SHARED_CODE.Rating","SHARED_DEPENDENCIES","SHARED_DEPENDENCIES.Rating","COMMUNICATION_CENTRALIZATION","COMMUNICATION_CENTRALIZATION.Rating","INTERFACE_CENTRALIZATION","INTERFACE_CENTRALIZATION.Rating","DATA_STORE_ENCAPSULATION","DATA_STORE_ENCAPSULATION.Rating","COMPONENT_COHESION","COMPONENT_COHESION.Rating","USAGE_COHESION","USAGE_COHESION.Rating","INCOMING_DEPENDENCIES","INCOMING_DEPENDENCIES.Rating","OUTGOING_DEPENDENCIES","OUTGOING_DEPENDENCIES.Rating","COMMUNICATION_COMPLEXITY","COMMUNICATION_COMPLEXITY.Rating","STATELESSNESS","STATELESSNESS.Rating","ASYNCHRONOUS_COMMUNICATION","ASYNCHRONOUS_COMMUNICATION.Rating","COMMUNICATION_BOTTLENECKS","COMMUNICATION_BOTTLENECKS.Rating","DATA_STORE_SCALABILITY","DATA_STORE_SCALABILITY.Rating","TECHNOLOGY_COHESION","TECHNOLOGY_COHESION.Rating","CBA.Rating","SOA.Rating","CLOUD_NATIVENESS.Rating","ARCHITECTURE_MAINTAINABILITY.Rating","ID","Parent.ID"
"11","opensource-simianarmy","opensource-simianarmy","SystemLevel","",12652,12652,8.8,12652,2.5,12547,3.1,3.7,4.4,NA,NA,NA,NA,3.8,0.9,NA,NA,6,3.8,NA,NA,NA,NA,478,2.9,491,2.5,0.1,3.6,0,5.5,NA,NA,NA,NA,1,NA,NA,NA,2.9,3.1,5.5,3.8,"d1f65326-f56e-4c74-bd4c-7d784d545971","d1f65326-f56e-4c74-bd4c-7d784d545971"
"12","opensource-openstack-swift","opensource-openstack-swift","SystemLevel","",33725,33725,6,21355,1.5,32511,2.3,1.6,4.1,NA,NA,NA,NA,64.9,3.5,NA,NA,6,3.8,0.4,1.3,NA,NA,21,5.4,77,3.5,0,5.5,0,5.5,NA,NA,NA,NA,1,NA,NA,NA,3.8,2.3,5.5,3.9,"06ea4f3f-8905-4acb-b0fb-3b5e0575522c","06ea4f3f-8905-4acb-b0fb-3b5e0575522c"
"13","opensource-openstack-cinder","DB","DataStore","",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"631f5dd6-8beb-4802-bcf5-10217a854288","631f5dd6-8beb-4802-bcf5-10217a854288"
"14","opensource-openstack-glance","DB","DataStore","",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2d3aa6bd-10d6-4e2d-ad43-be2a24e1e22e","2d3aa6bd-10d6-4e2d-ad43-be2a24e1e22e"
"15","opensource-openstack-keystone","DB","DataStore","",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"15cd1788-1231-4e6e-9c41-bbcd42a2f4ff","15cd1788-1231-4e6e-9c41-bbcd42a2f4ff"
"16","opensource-openstack-neutron","DB","DataStore","",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2f8dc49a-746e-4a2e-87fb-9d869f9acdf5","2f8dc49a-746e-4a2e-87fb-9d869f9acdf5"
"17","opensource-openstack-nova","DB","DataStore","",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"5ed238ef-0b7d-48fd-8594-45c5d4ebe136","5ed238ef-0b7d-48fd-8594-45c5d4ebe136"
"18","opensource-openstack-swift","DB","DataStore","",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"75087541-f592-41af-868d-d4e7ca301177","75087541-f592-41af-868d-d4e7ca301177"
"19","opensource-simianarmy","DB","DataStore","",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"3a5ad307-3f18-40ae-a65e-367b41779754","3a5ad307-3f18-40ae-a65e-367b41779754"
"20","opensource-netdata","opensource-netdata","SystemLevel","",86030,86030,24.7,77592,0.5,76621,1.9,3.7,5.4,NA,NA,NA,NA,91.5,5.1,NA,NA,0,5.5,1,5.5,0,0.5,0,5.5,5,3.6,0,5.5,0,5.5,NA,NA,NA,NA,0,NA,NA,NA,4.7,1.2,5.5,3.8,"720e1f79-0445-4da2-ad57-0c82aaa3cefc","720e1f79-0445-4da2-ad57-0c82aaa3cefc"
