System;System element;Type;Depth;Weight;LINES_OF_CODE;DUPLICATION;CODE_BREAKDOWN;CODE_BREAKDOWN Rating;DEPLOYMENT_BREAKDOWN;DEPLOYMENT_BREAKDOWN Rating;INTER_COMPONENT_DUPLICATION;INTER_COMPONENT_DUPLICATION Rating;SHARED_CODE;SHARED_CODE Rating;SHARED_DEPENDENCIES;SHARED_DEPENDENCIES Rating;COMMUNICATION_CENTRALIZATION;COMMUNICATION_CENTRALIZATION Rating;INTERFACE_CENTRALIZATION;INTERFACE_CENTRALIZATION Rating;DATA_STORE_ENCAPSULATION;DATA_STORE_ENCAPSULATION Rating;COMPONENT_COHESION;COMPONENT_COHESION Rating;USAGE_COHESION;USAGE_COHESION Rating;INCOMING_DEPENDENCIES;INCOMING_DEPENDENCIES Rating;OUTGOING_DEPENDENCIES;OUTGOING_DEPENDENCIES Rating;COMMUNICATION_COMPLEXITY;COMMUNICATION_COMPLEXITY Rating;STATELESSNESS;STATELESSNESS Rating;ASYNCHRONOUS_COMMUNICATION;ASYNCHRONOUS_COMMUNICATION Rating;COMMUNICATION_BOTTLENECKS;COMMUNICATION_BOTTLENECKS Rating;DATA_STORE_SCALABILITY;DATA_STORE_SCALABILITY Rating;TECHNOLOGY_COHESION;TECHNOLOGY_COHESION Rating;CBA Rating;SOA Rating;CLOUD_NATIVENESS Rating;ARCHITECTURE_MAINTAINABILITY Rating;ID;Parent ID
opensource-simianarmy;com.netflix.simianarmy.aws.janitor.rule.volume;CodeComponent;1L;161.0;161.0;29.2;161.0;3.5;;;4.3;3.5;;;;;0.0;0.5;;;;;;;;;2.0;3.8;12.0;2.8;;;;;;;;;;;;;;;;;33180d42-f541-43bb-a381-351c33ef1e09;9b7c3941-44e1-495e-916b-63793d8b8abb 33180d42-f541-43bb-a381-351c33ef1e09
opensource-simianarmy;com.netflix.simianarmy.basic;CodeComponent;1L;969.0;969.0;1.2;969.0;2.2;;;0.0;5.5;;;;;0.0;0.5;;;;;;;;;18.0;2.3;43.0;1.8;;;;;;;;;;;;;;;;;7178a26d-773b-4c82-82be-7aa7d34a40ca;9b7c3941-44e1-495e-916b-63793d8b8abb 7178a26d-773b-4c82-82be-7aa7d34a40ca
opensource-simianarmy;com.netflix.simianarmy.basic.calendars;CodeComponent;1L;67.0;67.0;0.0;67.0;4.8;;;0.0;5.5;;;;;0.0;0.5;;;;;;;;;0.0;5.5;2.0;4.1;;;;;;;;;;;;;;;;;7a8a77d8-de71-48b7-8389-ce9d67347906;9b7c3941-44e1-495e-916b-63793d8b8abb 7a8a77d8-de71-48b7-8389-ce9d67347906
opensource-simianarmy;com.netflix.simianarmy.basic.chaos;CodeComponent;1L;574.0;574.0;0.0;574.0;2.4;;;0.0;5.5;;;;;0.0;0.5;;;;;;;;;7.0;2.9;15.0;2.5;;;;;;;;;;;;;;;;;db882844-b486-439a-b3fb-10e84c783b1d;9b7c3941-44e1-495e-916b-63793d8b8abb db882844-b486-439a-b3fb-10e84c783b1d
opensource-simianarmy;com.netflix.simianarmy.basic.conformity;CodeComponent;1L;464.0;464.0;0.0;464.0;2.4;;;0.0;5.5;;;;;0.0;0.5;;;;;;;;;2.0;3.8;34.0;2.0;;;;;;;;;;;;;;;;;ec7f922e-428e-4c56-89de-366a35dc3969;9b7c3941-44e1-495e-916b-63793d8b8abb ec7f922e-428e-4c56-89de-366a35dc3969
opensource-simianarmy;com.netflix.simianarmy.basic.janitor;CodeComponent;1L;865.0;865.0;4.6;865.0;2.2;;;0.0;5.5;;;;;0.0;0.5;;;;;;;;;3.0;3.5;33.0;2.0;;;;;;;;;;;;;;;;;87f4b83e-9521-42f4-b297-81dd1260b3a6;9b7c3941-44e1-495e-916b-63793d8b8abb 87f4b83e-9521-42f4-b297-81dd1260b3a6
opensource-simianarmy;com.netflix.simianarmy.chaos;CodeComponent;1L;506.0;506.0;2.4;506.0;2.4;;;0.0;5.5;;;;;1.2;1.6;;;;;;;;;22.0;2.2;33.0;2.0;;;;;;;;;;;;;;;;;7bf4cdc5-1921-419a-a7e2-1f5aeecfb0ce;9b7c3941-44e1-495e-916b-63793d8b8abb 7bf4cdc5-1921-419a-a7e2-1f5aeecfb0ce
opensource-simianarmy;com.netflix.simianarmy.client;CodeComponent;1L;68.0;68.0;0.0;68.0;4.7;;;0.0;5.5;;;;;;;;;;;;;;;2.0;3.8;0.0;5.5;;;;;;;;;;;;;;;;;96f30429-9c59-420f-a3ac-d443c6f43bc7;96f30429-9c59-420f-a3ac-d443c6f43bc7 9b7c3941-44e1-495e-916b-63793d8b8abb
opensource-simianarmy;com.netflix.simianarmy.client.aws;CodeComponent;1L;636.0;636.0;0.0;636.0;2.3;;;0.0;5.5;;;;;0.0;0.5;;;;;;;;;29.0;2.0;2.0;4.1;;;;;;;;;;;;;;;;;a110b04d-4fc5-419a-bcd5-b123d6b4740e;9b7c3941-44e1-495e-916b-63793d8b8abb a110b04d-4fc5-419a-bcd5-b123d6b4740e
opensource-simianarmy;com.netflix.simianarmy.client.aws.chaos;CodeComponent;1L;130.0;130.0;0.0;130.0;3.8;;;0.0;5.5;;;;;0.0;0.5;;;;;;;;;3.0;3.5;8.0;3.2;;;;;;;;;;;;;;;;;237e166b-e6c7-4bb7-bd05-26309c54de70;9b7c3941-44e1-495e-916b-63793d8b8abb 237e166b-e6c7-4bb7-bd05-26309c54de70
opensource-simianarmy;com.netflix.simianarmy.client.edda;CodeComponent;1L;25.0;25.0;0.0;25.0;5.5;;;0.0;5.5;;;;;0.0;0.5;;;;;;;;;9.0;2.6;2.0;4.1;;;;;;;;;;;;;;;;;15ead294-9162-4626-9db9-d25727ff488a;9b7c3941-44e1-495e-916b-63793d8b8abb 15ead294-9162-4626-9db9-d25727ff488a
opensource-simianarmy;com.netflix.simianarmy.client.vsphere;CodeComponent;1L;208.0;208.0;0.0;208.0;3.2;;;0.0;5.5;;;;;18.8;3.0;;;;;;;;;0.0;5.5;5.0;3.6;;;;;;;;;;;;;;;;;d0037f0a-0f44-4233-abc7-1ffca2e56bfc;9b7c3941-44e1-495e-916b-63793d8b8abb d0037f0a-0f44-4233-abc7-1ffca2e56bfc
opensource-simianarmy;com.netflix.simianarmy.conformity;CodeComponent;1L;459.0;459.0;2.6;459.0;2.4;;;2.6;3.9;;;;;59.7;4.2;;;;;;;;;56.0;1.5;5.0;3.6;;;;;;;;;;;;;;;;;cbef9db9-5f27-48f2-ae54-970be7d64b09;9b7c3941-44e1-495e-916b-63793d8b8abb cbef9db9-5f27-48f2-ae54-970be7d64b09
opensource-simianarmy;com.netflix.simianarmy.janitor;CodeComponent;1L;537.0;537.0;2.2;537.0;2.4;;;2.2;4.0;;;;;0.0;0.5;;;;;;;;;43.0;1.7;21.0;2.3;;;;;;;;;;;;;;;;;b75e6240-86eb-4ceb-8581-4f73956929e2;9b7c3941-44e1-495e-916b-63793d8b8abb b75e6240-86eb-4ceb-8581-4f73956929e2
opensource-simianarmy;com.netflix.simianarmy.resources.chaos;CodeComponent;1L;181.0;181.0;16.6;181.0;3.4;;;16.6;2.4;;;;;0.0;0.5;;;;;;;;;0.0;5.5;9.0;3.1;;;;;;;;;;;;;;;;;e09a3e27-b71b-4d8d-b683-c5341637a7e6;9b7c3941-44e1-495e-916b-63793d8b8abb e09a3e27-b71b-4d8d-b683-c5341637a7e6
opensource-simianarmy;com.netflix.simianarmy.resources.janitor;CodeComponent;1L;154.0;154.0;27.9;154.0;3.5;;;19.5;2.3;;;;;0.0;0.5;;;;;;;;;0.0;5.5;3.0;4.0;;;;;;;;;;;;;;;;;67e39083-8737-48ff-8065-d633f3b66453;9b7c3941-44e1-495e-916b-63793d8b8abb 67e39083-8737-48ff-8065-d633f3b66453
opensource-simianarmy;com.netflix.simianarmy.tunable;CodeComponent;1L;37.0;37.0;0.0;37.0;5.5;;;0.0;5.5;;;;;0.0;0.5;;;;;;;;;1.0;4.1;4.0;3.8;;;;;;;;;;;;;;;;;9e2842f9-517d-4f2f-8c8b-6451e5c5258e;9b7c3941-44e1-495e-916b-63793d8b8abb 9e2842f9-517d-4f2f-8c8b-6451e5c5258e
opensource-simianarmy;:rootProject;DeployableComponent;;12547.0;12547.0;8.9;;;12547.0;3.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9b7c3941-44e1-495e-916b-63793d8b8abb;9b7c3941-44e1-495e-916b-63793d8b8abb
opensource-simianarmy;DB;DataStore;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;3a5ad307-3f18-40ae-a65e-367b41779754;3a5ad307-3f18-40ae-a65e-367b41779754
