System;System element;Type;Depth;Weight;LINES_OF_CODE;DUPLICATION;CODE_BREAKDOWN;CODE_BREAKDOWN Rating;DEPLOYMENT_BREAKDOWN;DEPLOYMENT_BREAKDOWN Rating;INTER_COMPONENT_DUPLICATION;INTER_COMPONENT_DUPLICATION Rating;SHARED_CODE;SHARED_CODE Rating;SHARED_DEPENDENCIES;SHARED_DEPENDENCIES Rating;COMMUNICATION_CENTRALIZATION;COMMUNICATION_CENTRALIZATION Rating;INTERFACE_CENTRALIZATION;INTERFACE_CENTRALIZATION Rating;DATA_STORE_ENCAPSULATION;DATA_STORE_ENCAPSULATION Rating;COMPONENT_COHESION;COMPONENT_COHESION Rating;USAGE_COHESION;USAGE_COHESION Rating;INCOMING_DEPENDENCIES;INCOMING_DEPENDENCIES Rating;OUTGOING_DEPENDENCIES;OUTGOING_DEPENDENCIES Rating;COMMUNICATION_COMPLEXITY;COMMUNICATION_COMPLEXITY Rating;STATELESSNESS;STATELESSNESS Rating;ASYNCHRONOUS_COMMUNICATION;ASYNCHRONOUS_COMMUNICATION Rating;COMMUNICATION_BOTTLENECKS;COMMUNICATION_BOTTLENECKS Rating;DATA_STORE_SCALABILITY;DATA_STORE_SCALABILITY Rating;TECHNOLOGY_COHESION;TECHNOLOGY_COHESION Rating;CBA Rating;SOA Rating;CLOUD_NATIVENESS Rating;ARCHITECTURE_MAINTAINABILITY Rating;ID;Parent ID
opensource-angel;com.tencent.angel.ipc;CodeComponent;3L;2048.0;2048.0;1.7;2048.0;1.6;;;1.4;4.2;;;;;15.5;2.8;;;;;;;;;26.0;2.1;37.0;1.9;;;;;;;;;;;;;;;;;8d5ae5b2-af07-4d77-8304-b6d0930dc177;8d5ae5b2-af07-4d77-8304-b6d0930dc177 a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4
opensource-angel;com.tencent.angel.localcluster;CodeComponent;3L;395.0;395.0;3.0;395.0;2.4;;;1.5;4.1;;;;;6.3;2.2;;;;;;;;;8.0;2.7;16.0;2.4;;;;;;;;;;;;;;;;;73fe5dd8-e4ff-4c29-93a2-4e4f390a989e;73fe5dd8-e4ff-4c29-93a2-4e4f390a989e a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4
opensource-angel;com.tencent.angel.master;CodeComponent;3L;2129.0;2129.0;0.3;2129.0;1.6;;;0.3;4.4;;;;;0.0;0.5;;;;;;;;;14.0;2.4;80.0;1.3;;;;;;;;;;;;;;;;;7c70c467-1425-4ddf-a487-e48a32a052cb;a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4 7c70c467-1425-4ddf-a487-e48a32a052cb
opensource-angel;com.tencent.angel.master.app;CodeComponent;3L;505.0;505.0;2.8;505.0;2.4;;;2.8;3.9;;;;;17.0;2.9;;;;;;;;;62.0;1.4;18.0;2.4;;;;;;;;;;;;;;;;;3aaef9ff-0e08-43c5-9f8a-eee92f76b7fc;3aaef9ff-0e08-43c5-9f8a-eee92f76b7fc a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4
opensource-angel;com.tencent.angel.master.data;CodeComponent;3L;217.0;217.0;5.5;217.0;3.2;;;2.8;3.9;;;;;0.0;0.5;;;;;;;;;4.0;3.3;6.0;3.5;;;;;;;;;;;;;;;;;b99db77d-27ac-4a6a-88c9-cdba4d8973df;b99db77d-27ac-4a6a-88c9-cdba4d8973df a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4
opensource-angel;com.tencent.angel.master.deploy;CodeComponent;3L;118.0;118.0;15.3;118.0;3.9;;;7.6;3.1;;;;;30.5;3.5;;;;;;;;;35.0;1.9;2.0;4.1;;;;;;;;;;;;;;;;;a83ad064-b0e6-4581-bc8a-399caef824d3;a83ad064-b0e6-4581-bc8a-399caef824d3 a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4
opensource-angel;com.tencent.angel.master.deploy.local;CodeComponent;3L;224.0;224.0;2.7;224.0;3.2;;;2.7;3.9;;;;;22.3;3.2;;;;;;;;;8.0;2.7;34.0;2.0;;;;;;;;;;;;;;;;;53497295-78f5-434c-9c36-7543a8608689;53497295-78f5-434c-9c36-7543a8608689 a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4
opensource-angel;com.tencent.angel.master.deploy.yarn;CodeComponent;3L;1187.0;1187.0;0.5;1187.0;2.0;;;0.5;4.3;;;;;0.0;0.5;;;;;;;;;14.0;2.4;52.0;1.5;;;;;;;;;;;;;;;;;bd4821b0-8905-445b-9ef8-11ceb74900f9;bd4821b0-8905-445b-9ef8-11ceb74900f9 a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4
opensource-angel;com.tencent.angel.master.matrix.committer;CodeComponent;3L;260.0;260.0;5.0;260.0;3.0;;;5.0;3.4;;;;;0.0;0.5;;;;;;;;;1.0;4.1;14.0;2.6;;;;;;;;;;;;;;;;;519546f8-3b01-4f2c-891d-d046ee55ebce;519546f8-3b01-4f2c-891d-d046ee55ebce a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4
opensource-angel;com.tencent.angel.master.metrics;CodeComponent;3L;254.0;254.0;0.0;254.0;3.0;;;0.0;5.5;;;;;4.7;2.0;;;;;;;;;6.0;3.0;4.0;3.8;;;;;;;;;;;;;;;;;dd7d1edb-9455-414e-a7f0-b8c2e513a992;a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4 dd7d1edb-9455-414e-a7f0-b8c2e513a992
opensource-angel;com.tencent.angel.master.oplog;CodeComponent;3L;335.0;335.0;0.0;335.0;2.7;;;0.0;5.5;;;;;0.0;0.5;;;;;;;;;2.0;3.8;11.0;2.9;;;;;;;;;;;;;;;;;2669eebf-3068-4fe9-98ff-59e1f985606d;2669eebf-3068-4fe9-98ff-59e1f985606d a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4
opensource-angel;com.tencent.angel.master.ps;CodeComponent;3L;205.0;205.0;0.0;205.0;3.3;;;0.0;5.5;;;;;9.3;2.5;;;;;;;;;7.0;2.9;12.0;2.8;;;;;;;;;;;;;;;;;1e668504-1b52-4d8a-b553-01156ea58f3d;1e668504-1b52-4d8a-b553-01156ea58f3d a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4
opensource-angel;com.tencent.angel.master.ps.attempt;CodeComponent;3L;571.0;571.0;12.8;571.0;2.4;;;14.2;2.4;;;;;4.9;2.0;;;;;;;;;19.0;2.3;26.0;2.2;;;;;;;;;;;;;;;;;e52408a1-ae59-480f-92ad-1fe4f4f52ad3;a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4 e52408a1-ae59-480f-92ad-1fe4f4f52ad3
opensource-angel;com.tencent.angel.master.ps.ps;CodeComponent;3L;394.0;394.0;18.8;394.0;2.4;;;11.2;2.7;;;;;4.6;2.0;;;;;;;;;11.0;2.4;12.0;2.8;;;;;;;;;;;;;;;;;a6e9132c-bc54-49d8-ae69-37168cabdb7f;a6e9132c-bc54-49d8-ae69-37168cabdb7f a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4
opensource-angel;com.tencent.angel.master.psagent;CodeComponent;3L;1491.0;1491.0;22.9;1491.0;1.9;;;18.2;2.3;;;;;1.5;1.6;;;;;;;;;15.0;2.3;47.0;1.7;;;;;;;;;;;;;;;;;79329a8d-4821-4d46-86b0-ebee6c87a113;79329a8d-4821-4d46-86b0-ebee6c87a113 a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4
opensource-angel;com.tencent.angel.master.psclient;CodeComponent;3L;44.0;44.0;0.0;44.0;5.5;;;0.0;5.5;;;;;11.4;2.6;;;;;;;;;1.0;4.1;6.0;3.5;;;;;;;;;;;;;;;;;97c2a277-fbb1-4765-aeb5-26eb6b56f222;a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4 97c2a277-fbb1-4765-aeb5-26eb6b56f222
opensource-angel;com.tencent.angel.master.slowcheck;CodeComponent;3L;190.0;190.0;0.0;190.0;3.3;;;0.0;5.5;;;;;2.1;1.7;;;;;;;;;2.0;3.8;19.0;2.4;;;;;;;;;;;;;;;;;79c4f129-113c-4e1d-9661-b20977d00030;79c4f129-113c-4e1d-9661-b20977d00030 a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4
opensource-angel;com.tencent.angel.master.task;CodeComponent;3L;372.0;372.0;4.8;372.0;2.5;;;6.5;3.3;;;;;3.8;1.9;;;;;;;;;14.0;2.4;2.0;4.1;;;;;;;;;;;;;;;;;8e39e43f-e86d-440a-a56c-333d1121c6fc;a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4 8e39e43f-e86d-440a-a56c-333d1121c6fc
opensource-angel;com.tencent.angel.master.worker;CodeComponent;3L;383.0;383.0;0.0;383.0;2.5;;;0.0;5.5;;;;;2.9;1.8;;;;;;;;;6.0;3.0;16.0;2.4;;;;;;;;;;;;;;;;;c7510a83-654c-41b1-9536-f5bd68276569;a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4 c7510a83-654c-41b1-9536-f5bd68276569
opensource-angel;com.tencent.angel.master.worker.attempt;CodeComponent;3L;636.0;636.0;9.9;636.0;2.3;;;14.3;2.4;;;;;3.3;1.8;;;;;;;;;23.0;2.2;28.0;2.1;;;;;;;;;;;;;;;;;22a2cf2f-1ac5-4085-9820-3698dadb38f9;22a2cf2f-1ac5-4085-9820-3698dadb38f9 a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4
opensource-angel;com.tencent.angel.master.worker.worker;CodeComponent;3L;530.0;530.0;17.2;530.0;2.4;;;11.7;2.6;;;;;3.6;1.9;;;;;;;;;18.0;2.3;16.0;2.4;;;;;;;;;;;;;;;;;e34a45d0-e3b9-4050-95f4-71fbb3f80b19;a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4 e34a45d0-e3b9-4050-95f4-71fbb3f80b19
opensource-angel;com.tencent.angel.master.worker.workergroup;CodeComponent;3L;474.0;474.0;16.7;474.0;2.4;;;9.3;2.9;;;;;3.0;1.8;;;;;;;;;17.0;2.3;13.0;2.7;;;;;;;;;;;;;;;;;f79141de-2913-4ff2-9349-9c751143f31f;a0c43fd9-c778-4e91-b41b-16d3e47add8f 0be7cbb4-6997-4bc9-8578-90eedc4651d4 f79141de-2913-4ff2-9349-9c751143f31f
