System;System element;Type;Depth;Weight;LINES_OF_CODE;DUPLICATION;CODE_BREAKDOWN;CODE_BREAKDOWN Rating;DEPLOYMENT_BREAKDOWN;DEPLOYMENT_BREAKDOWN Rating;INTER_COMPONENT_DUPLICATION;INTER_COMPONENT_DUPLICATION Rating;SHARED_CODE;SHARED_CODE Rating;SHARED_DEPENDENCIES;SHARED_DEPENDENCIES Rating;COMMUNICATION_CENTRALIZATION;COMMUNICATION_CENTRALIZATION Rating;INTERFACE_CENTRALIZATION;INTERFACE_CENTRALIZATION Rating;DATA_STORE_ENCAPSULATION;DATA_STORE_ENCAPSULATION Rating;COMPONENT_COHESION;COMPONENT_COHESION Rating;USAGE_COHESION;USAGE_COHESION Rating;INCOMING_DEPENDENCIES;INCOMING_DEPENDENCIES Rating;OUTGOING_DEPENDENCIES;OUTGOING_DEPENDENCIES Rating;COMMUNICATION_COMPLEXITY;COMMUNICATION_COMPLEXITY Rating;STATELESSNESS;STATELESSNESS Rating;ASYNCHRONOUS_COMMUNICATION;ASYNCHRONOUS_COMMUNICATION Rating;COMMUNICATION_BOTTLENECKS;COMMUNICATION_BOTTLENECKS Rating;DATA_STORE_SCALABILITY;DATA_STORE_SCALABILITY Rating;TECHNOLOGY_COHESION;TECHNOLOGY_COHESION Rating;CBA Rating;SOA Rating;CLOUD_NATIVENESS Rating;ARCHITECTURE_MAINTAINABILITY Rating;ID;Parent ID
opensource-telegram;org.telegram.messenger.exoplayer2.trackselection;CodeComponent;2L;1278.0;1278.0;5.4;1278.0;2.0;;;2.9;3.8;;;;;2.9;1.8;;;;;;;;;35.0;1.9;35.0;2.0;;;;;;;;;;;;;;;;;19a95d29-b924-461e-8506-07655d16f73a;19a95d29-b924-461e-8506-07655d16f73a 797e6f26-2f84-4204-a312-0bbfdb7d0c20
opensource-telegram;org.telegram.messenger.exoplayer2.ui;CodeComponent;2L;619.0;619.0;0.0;619.0;2.3;;;0.0;5.5;;;;;15.5;2.8;;;;;;;;;4.0;3.3;15.0;2.5;;;;;;;;;;;;;;;;;56c5d1c3-cd87-4e4d-bc76-d43905600d80;56c5d1c3-cd87-4e4d-bc76-d43905600d80 797e6f26-2f84-4204-a312-0bbfdb7d0c20
opensource-telegram;org.telegram.messenger.exoplayer2.upstream;CodeComponent;2L;1992.0;1992.0;5.6;1992.0;1.6;;;2.7;3.9;;;;;7.0;2.3;;;;;;;;;109.0;1.3;33.0;2.0;;;;;;;;;;;;;;;;;e3437afe-1674-49be-8e63-18b40a266f25;e3437afe-1674-49be-8e63-18b40a266f25 797e6f26-2f84-4204-a312-0bbfdb7d0c20
opensource-telegram;org.telegram.messenger.exoplayer2.upstream.cache;CodeComponent;2L;1254.0;1254.0;0.0;1254.0;2.0;;;0.0;5.5;;;;;8.7;2.5;;;;;;;;;0.0;5.5;31.0;2.1;;;;;;;;;;;;;;;;;bd4f86dd-4c51-4414-8ea1-2e8ea7c6b87d;bd4f86dd-4c51-4414-8ea1-2e8ea7c6b87d 797e6f26-2f84-4204-a312-0bbfdb7d0c20
opensource-telegram;org.telegram.messenger.exoplayer2.util;CodeComponent;2L;2589.0;2589.0;1.2;2589.0;1.4;;;0.9;4.3;;;;;63.0;4.2;;;;;;;;;330.0;0.8;9.0;3.1;;;;;;;;;;;;;;;;;c5591383-0082-40d4-929f-04f47f00882b;797e6f26-2f84-4204-a312-0bbfdb7d0c20 c5591383-0082-40d4-929f-04f47f00882b
opensource-telegram;org.telegram.messenger.exoplayer2.video;CodeComponent;2L;899.0;899.0;6.0;899.0;2.2;;;5.3;3.4;;;;;0.0;0.5;;;;;;;;;8.0;2.7;28.0;2.1;;;;;;;;;;;;;;;;;b85a4a49-7ce6-4337-a3ee-4f47b7967195;b85a4a49-7ce6-4337-a3ee-4f47b7967195 797e6f26-2f84-4204-a312-0bbfdb7d0c20
opensource-telegram;org.telegram.messenger.query;CodeComponent;2L;3477.0;3477.0;9.9;3477.0;1.4;;;6.8;3.2;;;;;0.0;0.5;;;6.0;3.2;;;;;47.0;1.7;123.0;1.1;;;;;;;;;;;;;;;;;2d83f1f0-7d68-44a8-b4c8-f72f8ce95fdc;2d83f1f0-7d68-44a8-b4c8-f72f8ce95fdc 797e6f26-2f84-4204-a312-0bbfdb7d0c20
opensource-telegram;org.telegram.messenger.support.customtabs;CodeComponent;2L;756.0;756.0;7.1;756.0;2.3;;;2.4;4.0;;;;;;;;;;;;;;;8.0;2.7;0.0;5.5;;;;;;;;;;;;;;;;;3917db2f-008c-4231-a23f-3076420d4a1d;797e6f26-2f84-4204-a312-0bbfdb7d0c20 3917db2f-008c-4231-a23f-3076420d4a1d
opensource-telegram;org.telegram.messenger.support.customtabsclient.shared;CodeComponent;2L;131.0;131.0;0.0;131.0;3.8;;;0.0;5.5;;;;;79.4;4.7;;;;;;;;;3.0;3.5;3.0;4.0;;;;;;;;;;;;;;;;;fdc09fd2-4e8f-4a47-ac4b-f315256b742d;fdc09fd2-4e8f-4a47-ac4b-f315256b742d 797e6f26-2f84-4204-a312-0bbfdb7d0c20
opensource-telegram;org.telegram.messenger.support.fingerprint;CodeComponent;2L;305.0;305.0;21.6;305.0;2.8;;;10.8;2.7;;;;;55.1;4.1;;;;;;;;;2.0;3.8;1.0;4.3;;;;;;;;;;;;;;;;;f3c4f034-f904-4e2d-8716-45386ab61b53;f3c4f034-f904-4e2d-8716-45386ab61b53 797e6f26-2f84-4204-a312-0bbfdb7d0c20
